Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Virginia Beach City Public Schools,Lynnhaven Elementary,367.3,2314,16665,18980,0,0,0,18980,0,6971170,2314,16665
2023 - 2024,SCH,Virginia Beach City Public Schools,Lynnhaven Middle,722.09,1362,18570,19932,0,0,0,19932,0,14392521,1362,18570
2023 - 2024,SCH,Virginia Beach City Public Schools,Malibu Elementary,418.42,1911,14500,16411,0,0,0,16411,0,6866570,1911,14500
2023 - 2024,SCH,Virginia Beach City Public Schools,New Castle Elementary,729.41,1016,12418,13434,0,0,0,13434,0,9798838,1016,12418
2023 - 2024,SCH,Virginia Beach City Public Schools,Newtown Elementary,442.41,2325,15656,17981,0,0,0,17981,0,7955094,2325,15656
2023 - 2024,SCH,Virginia Beach City Public Schools,North Landing Elementary,447.94,1001,14767,15768,0,0,0,15768,0,7062998,1001,14767
2023 - 2024,SCH,Virginia Beach City Public Schools,Ocean Lakes Elementary,566,1649,12738,14386,0,0,0,14386,0,8142721,1649,12738
2023 - 2024,SCH,Virginia Beach City Public Schools,Ocean Lakes High,1791.27,795,13319,14114,0,0,0,14114,0,25282436,795,13319
2023 - 2024,SCH,Virginia Beach City Public Schools,Old Donation School,1333.5,657,11892,12549,0,0,0,12549,0,16733952,657,11892
2023 - 2024,SCH,Virginia Beach City Public Schools,Parkway Elementary,460.6,2986,15927,18913,0,0,0,18913,0,8711448,2986,15927
2023 - 2024,SCH,Virginia Beach City Public Schools,Pembroke Elementary,545.94,1421,17707,19129,0,0,0,19129,0,10443055,1421,17707
2023 - 2024,SCH,Virginia Beach City Public Schools,Pembroke Meadows Elementary,498.81,1153,13863,15016,0,0,0,15016,0,7490219,1153,13863
2023 - 2024,SCH,Virginia Beach City Public Schools,Plaza Middle,1053.66,828,13249,14077,0,0,0,14077,0,14832101,828,13249
2023 - 2024,SCH,Virginia Beach City Public Schools,Point O' View Elementary,727.2,2251,13408,15659,0,0,0,15659,0,11387557,2251,13408
2023 - 2024,SCH,Virginia Beach City Public Schools,Princess Anne Elementary,630.31,1530,13077,14607,0,0,0,14607,0,9206715,1530,13077
2023 - 2024,SCH,Virginia Beach City Public Schools,Princess Anne High,1675.57,2486,13246,15733,0,0,0,15733,0,26361519,2486,13246
2023 - 2024,SCH,Virginia Beach City Public Schools,Princess Anne Middle,1338.29,897,12121,13018,0,0,0,13018,0,17421477,897,12121
2023 - 2024,SCH,Virginia Beach City Public Schools,Providence Elementary,555.22,1103,14822,15925,0,0,0,15925,0,8841685,1103,14822
2023 - 2024,SCH,Virginia Beach City Public Schools,Red Mill Elementary,558.66,1086,13555,14641,0,0,0,14641,0,8179316,1086,13555
2023 - 2024,SCH,Virginia Beach City Public Schools,Rosemont Elementary,390.93,2362,17535,19897,0,0,0,19897,0,7778232,2362,17535
2023 - 2024,SCH,Virginia Beach City Public Schools,Rosemont Forest Elementary,501.4,962,14110,15072,0,0,0,15072,0,7556994,962,14110
2023 - 2024,SCH,Virginia Beach City Public Schools,Salem Elementary,566.59,738,13249,13986,0,0,0,13986,0,7924549,738,13249
2023 - 2024,SCH,Virginia Beach City Public Schools,Salem High,1652.74,852,12733,13585,0,0,0,13585,0,22452963,852,12733
2023 - 2024,SCH,Virginia Beach City Public Schools,Salem Middle,1097.57,996,12086,13081,0,0,0,13081,0,14357700,996,12086
2023 - 2024,SCH,Virginia Beach City Public Schools,Seatack Elementary an Achievable Dream Academy,392.3,2366,16908,19274,0,0,0,19274,0,7561156,2366,16908
2023 - 2024,SCH,Virginia Beach City Public Schools,Shelton Park Elementary,446.42,1744,14176,15920,0,0,0,15920,0,7106858,1744,14176
2023 - 2024,SCH,Virginia Beach City Public Schools,Strawbridge Elementary,614.75,896,12652,13547,0,0,0,13547,0,8328275,896,12652
2023 - 2024,SCH,Virginia Beach City Public Schools,Tallwood Elementary,542.69,989,14288,15277,0,0,0,15277,0,8290499,989,14288
2023 - 2024,SCH,Virginia Beach City Public Schools,Tallwood High,1848.16,866,12598,13464,0,0,0,13464,0,24883621,866,12598
2023 - 2024,SCH,Virginia Beach City Public Schools,Thalia Elementary,584.15,1982,14644,16626,0,0,0,16626,0,9712193,1982,14644
2023 - 2024,SCH,Virginia Beach City Public Schools,Thoroughgood Elementary,759.88,792,11967,12759,0,0,0,12759,0,9695190,792,11967
2023 - 2024,SCH,Virginia Beach City Public Schools,Three Oaks Elementary,710.5,1135,12776,13911,0,0,0,13911,0,9883964,1135,12776
2023 - 2024,SCH,Virginia Beach City Public Schools,Trantwood Elementary,529.09,1008,13788,14796,0,0,0,14796,0,7828193,1008,13788
2023 - 2024,SCH,Virginia Beach City Public Schools,Virginia Beach Middle,629.91,859,15061,15921,0,0,0,15921,0,10028631,859,15061
2023 - 2024,SCH,Virginia Beach City Public Schools,W.T. Cooke Elementary,581.42,906,13220,14125,0,0,0,14125,0,8212771,906,13220
2023 - 2024,SCH,Virginia Beach City Public Schools,White Oaks Elementary,646.72,1428,14008,15437,0,0,0,15437,0,9983103,1428,14008
2023 - 2024,SCH,Virginia Beach City Public Schools,Williams Elementary,440.4,2743,14562,17305,0,0,0,17305,0,7620934,2743,14562
2023 - 2024,SCH,Virginia Beach City Public Schools,Windsor Oaks Elementary,495.81,1573,15134,16707,0,0,0,16707,0,8283312,1573,15134
2023 - 2024,SCH,Virginia Beach City Public Schools,Windsor Woods Elementary,451.71,1000,16835,17835,0,0,0,17835,0,8056200,1000,16835
2023 - 2024,SCH,Virginia Beach City Public Schools,Woodstock Elementary,706.14,1084,13224,14308,0,0,0,14308,0,10103255,1084,13224
2023 - 2024,SCH,Warren County Public Schools,A.S. Rhodes Elementary,262.16,387,8937,9324,27,3263,3290,12614,8671,3306923,414,12200
2023 - 2024,SCH,Warren County Public Schools,E. Wilson Morrison Elementary,446.06,783,10105,10887,27,3263,3290,14177,14334,6324009,810,13368
2023 - 2024,SCH,Warren County Public Schools,Hilda J. Barbour Elementary,461.77,678,8943,9621,27,3263,3290,12911,15572,5961714,705,12206
2023 - 2024,SCH,Warren County Public Schools,Leslie Fox Keyser Elementary,513.98,794,8707,9501,27,3263,3290,12791,17519,6574523,821,11970
2023 - 2024,SCH,Warren County Public Schools,Ressie Jeffries Elementary,651.33,1051,8792,9843,27,3263,3290,13133,21412,8553987,1078,12055
2023 - 2024,SCH,Warren County Public Schools,Skyline High,869.34,861,10984,11845,27,3263,3290,15135,30551,13157249,888,14247
2023 - 2024,SCH,Warren County Public Schools,Skyline Middle,570.08,878,9894,10772,27,3263,3290,14062,20527,8016642,905,13157
2023 - 2024,SCH,Warren County Public Schools,Warren County High,802.8,600,11783,12383,27,3263,3290,15674,32665,12582689,627,15046
2023 - 2024,SCH,Warren County Public Schools,Warren County Middle,524.6,418,11076,11494,27,3263,3290,14784,18757,7755935,445,14339
2023 - 2024,SCH,Washington County Public Schools,Abingdon Elementary,409.44,1224,11312,12536,191,2680,2871,15407,284568,6308233,1415,13992
2023 - 2024,SCH,Washington County Public Schools,Abingdon High,829.02,127,9649,9776,191,2680,2871,12647,1239145,10484774,318,12329
2023 - 2024,SCH,Washington County Public Schools,Damascus Middle,163.95,1626,13245,14871,191,2680,2871,17742,137501,2908872,1817,15925
2023 - 2024,SCH,Washington County Public Schools,E.B. Stanley Middle,655.63,1161,8975,10136,191,2680,2871,13007,532710,8527902,1352,11655
2023 - 2024,SCH,Washington County Public Schools,Glade Spring Middle,228.55,1019,13505,14524,191,2680,2871,17396,135420,3975747,1210,16185
2023 - 2024,SCH,Washington County Public Schools,Greendale Elementary,286.08,1135,11494,12629,191,2680,2871,15500,223100,4434257,1326,14174
2023 - 2024,SCH,Washington County Public Schools,High Point Elementary,575.39,1394,8428,9823,191,2680,2871,12694,294265,7303907,1585,11108
2023 - 2024,SCH,Washington County Public Schools,Holston High,249.53,93,13377,13470,191,2680,2871,16341,316759,4077607,284,16057
2023 - 2024,SCH,Washington County Public Schools,John S. Battle High,633.36,66,8329,8395,191,2680,2871,11266,462416,7135623,257,11009
2023 - 2024,SCH,Washington County Public Schools,Meadowview Elementary,530.25,2024,8910,10933,191,2680,2871,13805,438174,7319900,2215,11590
2023 - 2024,SCH,Washington County Public Schools,Patrick Henry High,368.42,90,11457,11547,191,2680,2871,14418,1523519,5312046,281,14137
2023 - 2024,SCH,Washington County Public Schools,Rhea Valley Elementary,424.61,1780,9269,11049,191,2680,2871,13920,253663,5910490,1971,11949
2023 - 2024,SCH,Washington County Public Schools,Valley Institute Elementary,299.85,1305,10992,12297,191,2680,2871,15168,189383,4548253,1496,13672
2023 - 2024,SCH,Washington County Public Schools,Wallace Middle,425.33,792,9803,10595,191,2680,2871,13466,553959,5727440,983,12483
2023 - 2024,SCH,Washington County Public Schools,Watauga Elementary,568.55,1424,8096,9520,191,2680,2871,12391,344482,7045033,1615,10776
2023 - 2024,SCH,Waynesboro City Public Schools,Berkeley Glenn Elementary ,255.25,313,13068,13381,366,4917,5283,18664,0,4764046,679,17985
2023 - 2024,SCH,Waynesboro City Public Schools,Kate Collins Middle ,619.06,502,10345,10847,366,4917,5283,16130,0,9985474,868,15262
2023 - 2024,SCH,Waynesboro City Public Schools,Waynesboro High ,891.2,472,8979,9452,366,4917,5283,14735,1125,13131953,838,13896
2023 - 2024,SCH,Waynesboro City Public Schools,Wenonah Elementary ,218.64,4003,11555,15558,366,4917,5283,20842,0,4556787,4369,16472
2023 - 2024,SCH,Waynesboro City Public Schools,Westwood Hills Elementary ,377.13,349,10924,11273,366,4917,5283,16556,0,6243864,715,15841
2023 - 2024,SCH,Waynesboro City Public Schools,William Perry Elementary ,445.34,862,10150,11012,366,4917,5283,16295,0,7256765,1228,15067
2023 - 2024,SCH,West Point Public Schools,West Point Elementary,396.59,1542,11411,12952,46,3946,3992,16945,106243,6720070,1588,15357
2023 - 2024,SCH,West Point Public Schools,West Point Middle/High,445.9,81,10001,10082,46,3946,3992,14074,27053,6275565,127,13947
2023 - 2024,SCH,Westmoreland County Public Schools,Cople Elementary,361.66,1664,11950,13614,613,4975,5588,19203,29990,6944822,2277,16925
2023 - 2024,SCH,Westmoreland County Public Schools,Montross Middle,327.65,555,13191,13747,613,4975,5588,19335,11615,6335038,1168,18166
2023 - 2024,SCH,Westmoreland County Public Schools,Washington District Elementary,382.95,1546,10973,12519,613,4975,5588,18107,0,6934157,2159,15948
2023 - 2024,SCH,Westmoreland County Public Schools,Westmoreland High,472.08,568,11688,12256,613,4975,5588,17844,3756191,8424007,1181,16663
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Berkeley Middle,656.98,348,8903,9250,358,5563,5921,15171,15043,9967179,706,14466
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Clara Byrd Baker Elementary,513.74,665,10794,11459,358,5563,5921,17380,0,8928736,1023,16357
2023 - 2024,SCH,Williamsburg-James City County Public Schools,D.J. Montague Elementary,527.25,1091,8315,9407,358,5563,5921,15328,-4732,8081478,1449,13878
2023 - 2024,SCH,Williamsburg-James City County Public Schools,J. Blaine Blayton Elementary,535.22,739,9969,10709,358,5563,5921,16630,2119,8900555,1097,15532
2023 - 2024,SCH,Williamsburg-James City County Public Schools,James Blair Middle,517.47,380,9871,10251,358,5563,5921,16172,15028,8368531,738,15434
2023 - 2024,SCH,Williamsburg-James City County Public Schools,James River Elementary,454.91,1079,11371,12450,358,5563,5921,18371,0,8357074,1437,16934
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Jamestown High,1152.7,164,8755,8919,358,5563,5921,14840,42388,17106430,522,14318
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Lafayette High,1192.58,218,8017,8234,358,5563,5921,14155,37324,16881308,576,13580
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Laurel Lane Elementary,531.24,644,9337,9980,358,5563,5921,15901,24945,8447384,1002,14900
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Lois Hornsby Middle,794.57,315,8253,8568,358,5563,5921,14489,14309,11512567,673,13816
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Matoaka Elementary,598.86,426,9779,10206,358,5563,5921,16127,0,9657634,784,15342
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Matthew Whaley Elementary,456.94,1031,9667,10698,358,5563,5921,16619,0,7593686,1389,15230
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Norge Elementary,638.04,960,9563,10523,358,5563,5921,16444,11632,10491906,1318,15126
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Stonehouse Elementary,832.45,425,8028,8453,358,5563,5921,14374,921,11965375,783,13591
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Toano Middle,694,423,8490,8913,358,5563,5921,14834,16849,10294837,781,14053
2023 - 2024,SCH,Williamsburg-James City County Public Schools,Warhill High,1199.49,88,8322,8410,358,5563,5921,14331,49770,17189301,446,13885
2023 - 2024,SCH,Winchester City Public Schools,Daniel Morgan Intermediate,595.47,578,11528,12107,374,4868,5242,17349,833328,10330525,952,16396
2023 - 2024,SCH,Winchester City Public Schools,Daniel Morgan Middle,583.72,559,13323,13883,374,4868,5242,19125,940270,11163394,933,18191
2023 - 2024,SCH,Winchester City Public Schools,Frederick Douglass Elementary,290.78,786,16146,16932,374,4868,5242,22174,416461,6447723,1160,21014
2023 - 2024,SCH,Winchester City Public Schools,Garland R. Quarles Elementary,393.03,1076,16264,17340,374,4868,5242,22582,884217,8875372,1450,21132
2023 - 2024,SCH,Winchester City Public Schools,John Handley High,1328.3,457,12699,13157,374,4868,5242,18399,1243813,24438904,831,17567
2023 - 2024,SCH,Winchester City Public Schools,John Kerr Elementary,608.3,644,10873,11517,374,4868,5242,16759,758608,10194242,1018,15741
2023 - 2024,SCH,Winchester City Public Schools,Virginia Avenue Charlotte Dehart Elementary ,407.47,1222,11674,12896,374,4868,5242,18138,550206,7390603,1596,16542
2023 - 2024,SCH,Wise County Public Schools,Central High,657.41,238,7639,7877,766,2438,3203,11080,159753,7284119,1004,10077
2023 - 2024,SCH,Wise County Public Schools,Coeburn Middle,333.22,842,10534,11376,766,2438,3203,14579,97305,4858139,1608,12972
2023 - 2024,SCH,Wise County Public Schools,Coeburn Primary,439.22,1341,7345,8685,766,2438,3203,11889,130031,5221692,2107,9783
2023 - 2024,SCH,Wise County Public Schools,Eastside High,381.18,26,10887,10913,766,2438,3203,14116,100471,5380728,792,13325
2023 - 2024,SCH,Wise County Public Schools,J.W. Adams Combined,507.47,917,8918,9835,766,2438,3203,13038,105319,6616618,1683,11356
2023 - 2024,SCH,Wise County Public Schools,L.F. Addington Middle,405.84,670,9327,9997,766,2438,3203,13200,118781,5357256,1436,11765
2023 - 2024,SCH,Wise County Public Schools,St. Paul Elementary,534.37,810,7865,8675,766,2438,3203,11878,100505,6347208,1576,10303
2023 - 2024,SCH,Wise County Public Schools,Union High,552.79,4,9166,9170,766,2438,3203,12373,150564,6839942,770,11604
2023 - 2024,SCH,Wise County Public Schools,Union Middle,563.64,472,8737,9209,766,2438,3203,12412,98087,6995819,1238,11175
2023 - 2024,SCH,Wise County Public Schools,Union Primary,826.34,916,7424,8340,766,2438,3203,11543,188695,9538685,1682,9862
2023 - 2024,SCH,Wise County Public Schools,Wise Primary,609.92,1339,7562,8901,766,2438,3203,12104,116711,7382720,2105,10000
2023 - 2024,SCH,Wythe County Public Schools,Fort Chiswell High,417.06,180,9459,9638,37,4081,4118,13756,55894,5737202,217,13540
2023 - 2024,SCH,Wythe County Public Schools,Fort Chiswell Middle,303.78,322,8032,8354,37,4081,4118,12472,0,3788602,359,12113
2023 - 2024,SCH,Wythe County Public Schools,George Wythe High,433.77,242,9097,9339,37,4081,4118,13457,58709,5837267,279,13178
2023 - 2024,SCH,Wythe County Public Schools,Jackson Memorial Elementary,218.76,1270,7409,8679,37,4081,4118,12797,0,2799434,1307,11490
2023 - 2024,SCH,Wythe County Public Schools,Max Meadows Elementary,205.55,1621,11302,12923,37,4081,4118,17041,0,3502779,1658,15383
2023 - 2024,SCH,Wythe County Public Schools,Rural Retreat Elementary,356.46,1618,6791,8409,37,4081,4118,12527,0,4465368,1655,10872
2023 - 2024,SCH,Wythe County Public Schools,Rural Retreat High,302.95,33,10177,10211,37,4081,4118,14329,40748,4340832,70,14258
2023 - 2024,SCH,Wythe County Public Schools,Rural Retreat Middle,219.6,271,7640,7911,37,4081,4118,12029,0,2641540,308,11721
2023 - 2024,SCH,Wythe County Public Schools,Scott Memorial Middle,302.35,235,7945,8180,37,4081,4118,12298,0,3718279,272,12026
2023 - 2024,SCH,Wythe County Public Schools,Sheffey Elementary,224.02,1253,8673,9926,37,4081,4118,14044,0,3146128,1290,12754
2023 - 2024,SCH,Wythe County Public Schools,Speedwell Elementary,127.42,2711,8604,11315,37,4081,4118,15433,0,1966476,2748,12685
2023 - 2024,SCH,Wythe County Public Schools,Spiller Elementary,633.72,2125,7778,9903,37,4081,4118,14021,0,8885504,2162,11859
2023 - 2024,SCH,York County Public Schools,Bethel Manor Elementary,627.17,1057,8197,9255,110,3530,3640,12894,16440,8086962,1167,11727
2023 - 2024,SCH,York County Public Schools,Bruton High,728.1,522,10277,10799,110,3530,3640,14439,653515,10513091,632,13807
2023 - 2024,SCH,York County Public Schools,Coventry Elementary,663.93,519,8348,8867,110,3530,3640,12507,16880,8303881,629,11878
2023 - 2024,SCH,York County Public Schools,Dare Elementary,410.71,649,11377,12026,110,3530,3640,15666,17214,6434111,759,14907
2023 - 2024,SCH,York County Public Schools,Grafton Bethel Elementary,634.98,342,9629,9971,110,3530,3640,13611,66906,8642489,452,13159
2023 - 2024,SCH,York County Public Schools,Grafton High,1207.81,398,8099,8498,110,3530,3640,12137,655187,14659635,508,11629
2023 - 2024,SCH,York County Public Schools,Grafton Middle,906.8,286,8067,8353,110,3530,3640,11993,142814,10875439,396,11597
2023 - 2024,SCH,York County Public Schools,Magruder Elementary,711.73,717,8383,9100,110,3530,3640,12740,68651,9067298,827,11913
2023 - 2024,SCH,York County Public Schools,Mount Vernon Elementary ,566.99,308,9496,9804,110,3530,3640,13444,15958,7622754,418,13026
2023 - 2024,SCH,York County Public Schools,Queens Lake Middle,566.2,365,9476,9841,110,3530,3640,13481,136482,7632879,475,13006
2023 - 2024,SCH,York County Public Schools,Seaford Elementary,494.43,465,10746,11211,110,3530,3640,14851,66439,7342817,575,14276
2023 - 2024,SCH,York County Public Schools,Tabb Elementary,693.23,159,8068,8227,110,3530,3640,11867,21087,8226778,269,11598
2023 - 2024,SCH,York County Public Schools,Tabb High,1110.97,583,9363,9946,110,3530,3640,13586,649829,15093954,693,12893
2023 - 2024,SCH,York County Public Schools,Tabb Middle,964.3,347,7805,8152,110,3530,3640,11792,135795,11370674,457,11335
2023 - 2024,SCH,York County Public Schools,Waller Mill Elementary,383.48,663,10348,11011,110,3530,3640,14651,16473,5618320,773,13878
2023 - 2024,SCH,York County Public Schools,York High,949.47,627,10743,11370,110,3530,3640,15010,652620,14251341,737,14273
2023 - 2024,SCH,York County Public Schools,York River Academy,71.12,3719,19202,22922,110,3530,3640,26561,189761,1889048,3829,22732
2023 - 2024,SCH,York County Public Schools,Yorktown Elementary,640.84,800,8958,9758,110,3530,3640,13398,68120,8586175,910,12488
2023 - 2024,SCH,York County Public Schools,Yorktown Middle,650.96,638,8537,9175,110,3530,3640,12815,137300,8341791,748,12067
